                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78771,                0.70519,                 1.0897,                0.86775,                0.80074,                0.87985,                 0.6382,                0.98101,                 0.8801,                  1.201,              0.0006536,              0.0006536,              0.0006536
                     36,                0.78902,                0.70333,                 1.0812,                0.93605,                0.76271,                0.88299,                0.65286,                0.97556,                0.87787,                 1.2101,               0.000614,               0.000614,               0.000614
                     37,                0.72473,                0.67928,                 1.0468,                0.86899,                  0.787,                0.86502,                0.64631,                 1.0182,                0.89425,                 1.2426,              0.0005744,              0.0005744,              0.0005744
                     38,                0.75205,                0.66397,                 1.0615,                0.87655,                0.81695,                0.89146,                0.65774,                0.96316,                0.86666,                 1.2228,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.7134,                0.65692,                 1.0531,                0.86494,                0.83729,                0.89987,                0.65101,                0.99048,                0.83398,                 1.2143,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.7347,                0.64274,                 1.0602,                0.86902,                0.80678,                0.87681,                 0.6572,                 0.9712,                0.84385,                  1.203,              0.0004556,              0.0004556,              0.0004556
                     41,                0.64788,                 0.5858,                0.99323,                0.88095,                    0.8,                0.87401,                0.65832,                0.96782,                0.90591,                 1.2154,               0.000416,               0.000416,               0.000416
                     42,                 0.6234,                0.54099,                0.98204,                0.90495,                    0.8,                0.87861,                0.66154,                0.93365,                0.83735,                 1.1877,              0.0003764,              0.0003764,              0.0003764
                     43,                0.61861,                0.53107,                0.99003,                0.89226,                0.81017,                0.88289,                 0.6627,                0.92652,                0.80667,                 1.1767,              0.0003368,              0.0003368,              0.0003368
                     44,                0.58054,                0.50451,                0.96351,                0.88917,                0.83051,                0.89071,                0.66517,                0.92295,                0.80969,                 1.1732,              0.0002972,              0.0002972,              0.0002972
                     45,                0.56287,                0.49425,                0.95247,                0.86273,                 0.8309,                0.88757,                0.66073,                0.91597,                0.80715,                 1.1684,              0.0002576,              0.0002576,              0.0002576
                     46,                0.56196,                0.48883,                0.95653,                0.86787,                0.82384,                0.88345,                0.66041,                0.92861,                0.82296,                 1.1848,               0.000218,               0.000218,               0.000218
                     47,                0.55084,                0.48166,                0.96167,                0.87582,                0.81017,                0.88534,                0.66211,                0.92786,                0.80287,                 1.1729,              0.0001784,              0.0001784,              0.0001784
                     48,                0.54283,                0.46125,                0.92699,                0.89326,                0.79661,                0.88452,                0.65832,                0.92937,                0.80094,                 1.1812,              0.0001388,              0.0001388,              0.0001388
                     49,                0.52218,                0.45423,                0.92978,                 0.8892,                0.80339,                0.88375,                0.66067,                0.91597,                0.79172,                 1.1817,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.53687,                0.46983,                0.94093,                0.91389,                0.80339,                 0.8898,                 0.6681,                0.91191,                0.77835,                 1.1758,               5.96e-05,               5.96e-05,               5.96e-05
